age,workclass,education_level,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,event_time,random_flag,source_system,event_time_std
39.0,State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174.0,0.0,40.0,United-States,<=80K,20/10/24,Y,batch,
50.0,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,nan,0.0,0.0,13.0,United-States,<=80K,06/04/26,nan,batch,
38.0,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=80K,11/05/23,nan,web,
53.0,Unknown,Under Graduate,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,nan,0.0,0.0,40.0,United-States,<=80K,08/07/24,nan,web,
28.0,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0.0,0.0,40.0,Cuba,nan,09/12/24,N,batch,
37.0,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States,<=80K,26/09/25,nan,app,
49.0,Private,Under Graduate,5,Married-spouse-absent,Other-service,nan,Black,Female,0.0,0.0,16.0,Jamaica,<=80K,02/05/24,N,web,
52.0,Unknown,HS-grad,9.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,nan,20/03/26,N,app,
31.0,Private,nan,14,Never-married,Prof-specialty,Not-in-family,White,Female,14084.0,0.0,50.0,United-States,>80K,03/02/24,N,web,
42.0,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178.0,0.0,40.0,United-States,nan,09/03/24,nan,web,
37.0,Private,Some-college,10.00,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,,United-States,>80K,11/02/23,Y,crm,
30.0,State-gov,Bachelors,nan,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,India,>80K,09/11/25,Y,batch,
23.0,Private,Bachelors,13.00,Never-married,Adm-clerical,Own-child,White,Female,,0.0,30.0,United-States,<=80K,nan,N,batch,
32.0,Private,Assoc-acdm,nan,Never-married,Sales,Not-in-family,Black,Male,0.0,0.0,50.0,United-States,<=80K,25/12/24,Y,batch,
34.0,Unknown,Under Graduate,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0.0,0.0,45.0,Mexico,<=80K,09/11/23,N,web,
25.0,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,35.0,United-States,<=80K,16/08/24,N,batch,
32.0,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=80K,05-26-2024,nan,crm,
38.0,Private,Under Graduate,7,Married-civ-spouse,Sales,Husband,nan,Male,,0.0,50.0,United-States,<=80K,31/01/24,N,web,
43.0,Self-emp-not-inc,Masters,14,Divorced,nan,Unmarried,White,Female,0.0,0.0,45.0,United-States,>80K,04-24-2025,Y,web,
40.0,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,nan,White,Male,0.0,0.0,60.0,United-States,nan,01/04/26,nan,web,
54.0,Private,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0.0,0.0,20.0,United-States,<=80K,21/04/24,Y,batch,
35.0,Federal-gov,Under Graduate,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0.0,0.0,40.0,nan,<=80K,09/08/25,N,batch,
43.0,Private,Under Graduate,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,2042.0,40.0,United-States,<=80K,29/01/24,N,batch,
59.0,Private,HS-grad,9.00,Divorced,Tech-support,nan,nan,Female,0.0,0.0,40.0,United-States,<=80K,02/10/25,N,web,
56.0,Local-gov,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States,>80K,05/07/24,Y,crm,
19.0,Private,HS-grad,9.00,Never-married,nan,Own-child,White,Male,0.0,0.0,40.0,United-States,nan,01/05/24,Y,crm,
39.0,Private,HS-grad,9,nan,Exec-managerial,Not-in-family,White,Male,0.0,0.0,80.0,United-States,<=80K,31/05/24,N,web,
49.0,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,nan,Male,0.0,0.0,40.0,United-States,<=80K,27/03/26,nan,web,
